Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_ur
,11,2,198,191,وَاقْتُلُوهُمْ حَيْثُ ثَقِفْتُمُوهُمْ وَأَخْرِجُوهُم مِّنْ حَيْثُ أَخْرَجُوكُمْ ۚ وَالْفِتْنَةُ أَشَدُّ مِنَ الْقَتْلِ ۚ وَلَا تُقَاتِلُوهُمْ عِندَ الْمَسْجِدِ الْحَرَامِ حَتَّىٰ يُقَاتِلُوكُمْ فِيهِ ۖ فَإِن قَاتَلُوكُمْ فَاقْتُلُوهُمْ ۗ كَذَٰلِكَ جَزَاءُ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_191.png,ان سے لڑو جہاں بھی تمہارا اُن سے مقابلہ پیش آئے اور انہیں نکالو جہاں سے انہوں نے تم کو نکالا ہے، اس لیے کہ قتل اگرچہ برا ہے، مگر فتنہ اس سے بھی زیادہ برا ہے اور مسجد حرام کے قریب جب تک وہ تم سے نہ لڑیں، تم بھی نہ لڑو، مگر جب وہ وہاں لڑنے سے نہ چُوکیں، تو تم بھی بے تکلف انہیں مارو کہ ایسے کافروں کی یہی سزا ہے
,11,2,199,192,فَإِنِ انتَهَوْا فَإِنَّ اللَّهَ غَفُورٌ رَّحِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_192.png,پھر اگر وہ باز آ جائیں، تو جان لو کہ اللہ معاف کرنے والا اور رحم فرمانے والا ہے
,11,2,200,193,وَقَاتِلُوهُمْ حَتَّىٰ لَا تَكُونَ فِتْنَةٌ وَيَكُونَ الدِّينُ لِلَّهِ ۖ فَإِنِ انتَهَوْا فَلَا عُدْوَانَ إِلَّا عَلَى الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_193.png,تم ان سے لڑتے رہو یہاں تک کہ فتنہ باقی نہ رہے اور دین اللہ کے لیے ہو جائے پھر اگر وہ باز آ جائیں، تو سمجھ لو کہ ظالموں کے سوا اور کسی پر دست درازی روا نہیں
,11,2,201,194,الشَّهْرُ الْحَرَامُ بِالشَّهْرِ الْحَرَامِ وَالْحُرُمَاتُ قِصَاصٌ ۚ فَمَنِ اعْتَدَىٰ عَلَيْكُمْ فَاعْتَدُوا عَلَيْهِ بِمِثْلِ مَا اعْتَدَىٰ عَلَيْكُمْ ۚ وَاتَّقُوا اللَّهَ وَاعْلَمُوا أَنَّ اللَّهَ مَعَ الْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_194.png,ماہ حرام کا بدلہ حرام ہی ہے اور تمام حرمتوں کا لحاظ برابری کے ساتھ ہوگا لہٰذا جوتم پر دست درازی کرے، تم بھی اسی طرح اس پر دست درازی کرو البتہ اللہ سے ڈرتے رہو اور جان رکھو کہ اللہ انہیں لوگوں کے ساتھ ہے، جو اس کی حدود توڑنے سے پرہیز کرتے ہیں
,11,2,202,195,وَأَنفِقُوا فِي سَبِيلِ اللَّهِ وَلَا تُلْقُوا بِأَيْدِيكُمْ إِلَى التَّهْلُكَةِ ۛ وَأَحْسِنُوا ۛ إِنَّ اللَّهَ يُحِبُّ الْمُحْسِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_195.png,اللہ کی راہ میں خرچ کرو اور اپنے ہاتھوں اپنے آپ کو ہلاکت میں نہ ڈالو احسان کا طریقہ اختیار کرو کہ اللہ محسنو ں کو پسند کرتا ہے
,11,2,203,196,وَأَتِمُّوا الْحَجَّ وَالْعُمْرَةَ لِلَّهِ ۚ فَإِنْ أُحْصِرْتُمْ فَمَا اسْتَيْسَرَ مِنَ الْهَدْيِ ۖ وَلَا تَحْلِقُوا رُءُوسَكُمْ حَتَّىٰ يَبْلُغَ الْهَدْيُ مَحِلَّهُ ۚ فَمَن كَانَ مِنكُم مَّرِيضًا أَوْ بِهِ أَذًى مِّن رَّأْسِهِ فَفِدْيَةٌ مِّن صِيَامٍ أَوْ صَدَقَةٍ أَوْ نُسُكٍ ۚ فَإِذَا أَمِنتُمْ فَمَن تَمَتَّعَ بِالْعُمْرَةِ إِلَى الْحَجِّ فَمَا اسْتَيْسَرَ مِنَ الْهَدْيِ ۚ فَمَن لَّمْ يَجِدْ فَصِيَامُ ثَلَاثَةِ أَيَّامٍ فِي الْحَجِّ وَسَبْعَةٍ إِذَا رَجَعْتُمْ ۗ تِلْكَ عَشَرَةٌ كَامِلَةٌ ۗ ذَٰلِكَ لِمَن لَّمْ يَكُنْ أَهْلُهُ حَاضِرِي الْمَسْجِدِ الْحَرَامِ ۚ وَاتَّقُوا اللَّهَ وَاعْلَمُوا أَنَّ اللَّهَ شَدِيدُ الْعِقَابِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_196.png,اللہ کی خوشنودی کے لیے جب حج اور عمرے کی نیت کرو، تو اُسے پورا کرو اور اگر کہیں گھر جاؤ تو جو قربانی میسر آئے، اللہ کی جناب میں پیش کرو اور اپنے سر نہ مونڈو جب تک کہ قربانی اپنی جگہ نہ پہنچ جائے مگر جو شخص مریض ہو یا جس کے سر میں کوئی تکلیف ہو اور اس بنا پر اپنا سر منڈوا لے، تو اُسے چاہیے کہ فدیے کے طور پر روزے رکھے یا صدقہ دے یا قربانی کرے پھر اگر تمہیں امن نصیب ہو جائے (اور تم حج سے پہلے مکے پہنچ جاؤ)، تو جو شخص تم میں سے حج کا زمانہ آنے تک عمرے کا فائدہ اٹھائے، وہ حسب مقدور قربانی دے، اور ا گر قربانی میسر نہ ہو، تو تین روزے حج کے زمانے میں اور سات گھر پہنچ کر، اِس طرح پورے دس روزے رکھ لے یہ رعایت اُن لوگوں کے لیے ہے، جن کے گھر بار مسجد حرام کے قریب نہ ہوں اللہ کے اِن احکام کی خلاف ورزی سے بچو اور خوب جان لو کہ اللہ سخت سزا دینے والا ہے
,11,2,204,197,الْحَجُّ أَشْهُرٌ مَّعْلُومَاتٌ ۚ فَمَن فَرَضَ فِيهِنَّ الْحَجَّ فَلَا رَفَثَ وَلَا فُسُوقَ وَلَا جِدَالَ فِي الْحَجِّ ۗ وَمَا تَفْعَلُوا مِنْ خَيْرٍ يَعْلَمْهُ اللَّهُ ۗ وَتَزَوَّدُوا فَإِنَّ خَيْرَ الزَّادِ التَّقْوَىٰ ۚ وَاتَّقُونِ يَا أُولِي الْأَلْبَابِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_197.png,حج کے مہینے سب کو معلوم ہیں جو شخص ان مقرر مہینوں میں حج کی نیت کرے، اُسے خبردار رہنا چاہیے کہ حج کے دوران اس سے کوئی شہوانی فعل، کوئی بد عملی، کوئی لڑائی جھگڑے کی بات سرزد نہ ہو اور جو نیک کام تم کرو گے، وہ اللہ کے علم میں ہوگا سفر حج کے لیے زاد راہ ساتھ لے جاؤ، اور سب سے بہتر زاد راہ پرہیزگاری ہے پس اے ہوش مندو! میر ی نا فرمانی سے پرہیز کرو
,11,2,205,198,لَيْسَ عَلَيْكُمْ جُنَاحٌ أَن تَبْتَغُوا فَضْلًا مِّن رَّبِّكُمْ ۚ فَإِذَا أَفَضْتُم مِّنْ عَرَفَاتٍ فَاذْكُرُوا اللَّهَ عِندَ الْمَشْعَرِ الْحَرَامِ ۖ وَاذْكُرُوهُ كَمَا هَدَاكُمْ وَإِن كُنتُم مِّن قَبْلِهِ لَمِنَ الضَّالِّينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_198.png,اور اگر حج کے ساتھ ساتھ اپنے رب کا فضل بھی تلاش کرتے جاؤ، تو اس میں کوئی مضائقہ نہں پھر جب عرفات سے چلو، تو مشعر حرام (مزدلفہ) کے پاس ٹھیر کر اللہ کو یاد کرو اور اُس طرح یاد کرو، جس کی ہدایت اس نے تمہیں دی ہے، ورنہ اس سے پہلے تم لوگ بھٹکے ہوئے تھے
,11,2,206,199,ثُمَّ أَفِيضُوا مِنْ حَيْثُ أَفَاضَ النَّاسُ وَاسْتَغْفِرُوا اللَّهَ ۚ إِنَّ اللَّهَ غَفُورٌ رَّحِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_199.png,پھر جہاں سے سب لوگ پلٹتے ہیں وہیں سے تم بھی پلٹو اور اللہ سے معافی چاہو، یقیناً وہ معاف کرنے والا اور رحم فرمانے والا ہے
,11,2,207,200,فَإِذَا قَضَيْتُم مَّنَاسِكَكُمْ فَاذْكُرُوا اللَّهَ كَذِكْرِكُمْ آبَاءَكُمْ أَوْ أَشَدَّ ذِكْرًا ۗ فَمِنَ النَّاسِ مَن يَقُولُ رَبَّنَا آتِنَا فِي الدُّنْيَا وَمَا لَهُ فِي الْآخِرَةِ مِنْ خَلَاقٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_200.png,پھر جب اپنے حج کے ارکان ادا کر چکو، تو جس طرح پہلے اپنے آبا و اجداد کا ذکر کرتے تھے، اُس طرح اب اللہ کا ذکر کرو، بلکہ اس سے بھی بڑھ کر (مگر اللہ کو یاد کرنے والے لوگوں میں بھی بہت فرق ہے) اُن میں سے کوئی تو ایسا ہے، جو کہتا ہے کہ اے ہمارے رب، ہمیں دنیا ہی میں سب کچھ دیدے ایسے شخص کے لیے آخرت میں کوئی حصہ نہیں
,11,2,208,201,وَمِنْهُم مَّن يَقُولُ رَبَّنَا آتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ النَّارِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_201.png,اور کوئی کہتا ہے کہ اے ہمارے رب! ہمیں دنیا میں بھی بھلائی دے اور آخرت میں بھی بھلائی اور آگ کے عذاب سے ہمیں بچا
,11,2,209,202,أُولَٰئِكَ لَهُمْ نَصِيبٌ مِّمَّا كَسَبُوا ۚ وَاللَّهُ سَرِيعُ الْحِسَابِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_202.png,ایسے لوگ اپنی کمائی کے مطابق (دونوں جگہ) حصہ پائیں گے اور اللہ کو حساب چکاتے کچھ دیر نہیں لگتی
,11,2,210,203,۞ وَاذْكُرُوا اللَّهَ فِي أَيَّامٍ مَّعْدُودَاتٍ ۚ فَمَن تَعَجَّلَ فِي يَوْمَيْنِ فَلَا إِثْمَ عَلَيْهِ وَمَن تَأَخَّرَ فَلَا إِثْمَ عَلَيْهِ ۚ لِمَنِ اتَّقَىٰ ۗ وَاتَّقُوا اللَّهَ وَاعْلَمُوا أَنَّكُمْ إِلَيْهِ تُحْشَرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_203.png,یہ گنتی کے چند روز ہیں، جو تمہیں اللہ کی یاد میں بسر کرنے چاہییں پھر جو کوئی جلدی کر کے دو ہی دن میں واپس ہو گیا تو کوئی حرج نہیں، اور جو کچھ دیر زیادہ ٹھیر کر پلٹا تو بھی کوئی حرج نہیں بشر طیکہ یہ دن اس نے تقویٰ کے ساتھ بسر کیے ہو اللہ کی نافرمانی سے بچو اور خوب جان رکھو کہ ایک روز اس کے حضور میں تمہاری پیشی ہونے والی ہے
,11,2,211,204,وَمِنَ النَّاسِ مَن يُعْجِبُكَ قَوْلُهُ فِي الْحَيَاةِ الدُّنْيَا وَيُشْهِدُ اللَّهَ عَلَىٰ مَا فِي قَلْبِهِ وَهُوَ أَلَدُّ الْخِصَامِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_204.png,انسانوں میں کوئی تو ایسا ہے، جس کی باتیں دنیا کی زندگی میں تمہیں بہت بھلی معلوم ہوتی ہیں، اور اپنی نیک نیتی پر وہ بار بار خد ا کو گواہ ٹھیرا تا ہے، مگر حقیقت میں وہ بد ترین دشمن حق ہوتا ہے
,11,2,212,205,وَإِذَا تَوَلَّىٰ سَعَىٰ فِي الْأَرْضِ لِيُفْسِدَ فِيهَا وَيُهْلِكَ الْحَرْثَ وَالنَّسْلَ ۗ وَاللَّهُ لَا يُحِبُّ الْفَسَادَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_205.png,جب اُسے اقتدار حاصل ہو جاتا ہے، تو زمین میں اُس کی ساری دوڑ دھوپ اس لیے ہوتی ہے کہ فساد پھیلائے، کھیتوں کو غارت کرے اور نسل انسانی کو تباہ کرے حالاں کہ اللہ (جسے وہ گواہ بنا رہا تھا) فساد کو ہرگز پسند نہیں کرتا
,11,2,213,180,وَإِذَا قِيلَ لَهُ اتَّقِ اللَّهَ أَخَذَتْهُ الْعِزَّةُ بِالْإِثْمِ ۚ فَحَسْبُهُ جَهَنَّمُ ۚ وَلَبِئْسَ الْمِهَادُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_206.png,اور جب اس سے کہا جاتا ہے کہ اللہ سے ڈر، تو اپنے وقار کا خیال اُس کو گناہ پر جما دیتا ہے ایسے شخص کے لیے تو بس جہنم ہی کافی ہے اور وہ بہت برا ٹھکانا ہے
,11,2,214,207,وَمِنَ النَّاسِ مَن يَشْرِي نَفْسَهُ ابْتِغَاءَ مَرْضَاتِ اللَّهِ ۗ وَاللَّهُ رَءُوفٌ بِالْعِبَادِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_207.png,دوسری طرف انسانوں ہی میں کوئی ایسا بھی ہے، جو رضا ئے الٰہی کی طلب میں اپنی جان کھپا دیتا ہے اور ایسے بندوں پر اللہ بہت مہربان ہے
,11,2,215,208,يَا أَيُّهَا الَّذِينَ آمَنُوا ادْخُلُوا فِي السِّلْمِ كَافَّةً وَلَا تَتَّبِعُوا خُطُوَاتِ الشَّيْطَانِ ۚ إِنَّهُ لَكُمْ عَدُوٌّ مُّبِينٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_208.png,اے ایمان لانے والو! تم پورے کے پورے اسلام میں آ جاؤ اور شیطان کی پیروی نہ کرو کہ وہ تمہارا کھلا دشمن ہے
,11,2,216,209,فَإِن زَلَلْتُم مِّن بَعْدِ مَا جَاءَتْكُمُ الْبَيِّنَاتُ فَاعْلَمُوا أَنَّ اللَّهَ عَزِيزٌ حَكِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_209.png,جو صاف صاف ہدایات تمہارے پا س آ چکی ہیں، اگر ان کو پا لینے کے بعد پھر تم نے لغز ش کھائی، تو خوب جان رکھو کہ اللہ سب پر غالب اور حکیم و دانا ہے
,11,2,217,210,هَلْ يَنظُرُونَ إِلَّا أَن يَأْتِيَهُمُ اللَّهُ فِي ظُلَلٍ مِّنَ الْغَمَامِ وَالْمَلَائِكَةُ وَقُضِيَ الْأَمْرُ ۚ وَإِلَى اللَّهِ تُرْجَعُ الْأُمُورُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_210.png,(اِن ساری نصیحتوں اور ہدایتوں کے بعد بھی لوگ سیدھے نہ ہوں، تو) کیا اب وہ اِس کے منتظر ہیں کہ اللہ بادلوں کا چتر لگائے فرشتوں کے پرے سا تھ لیے خود سامنے آ موجود ہو اور فیصلہ ہی کر ڈالا جائے؟ آخر کار سارے معاملات پیش تو اللہ ہی کے حضور ہونے والے ہیں
,11,2,218,211,سَلْ بَنِي إِسْرَائِيلَ كَمْ آتَيْنَاهُم مِّنْ آيَةٍ بَيِّنَةٍ ۗ وَمَن يُبَدِّلْ نِعْمَةَ اللَّهِ مِن بَعْدِ مَا جَاءَتْهُ فَإِنَّ اللَّهَ شَدِيدُ الْعِقَابِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_211.png,بنی اسرائیل سے پوچھو: کیسی کھلی کھلی نشانیاں ہم نے اُنہیں دکھائی ہیں (اور پھر یہ بھی انہیں سے پوچھ لو کہ) اللہ کی نعمت پانے کے بعد جو قوم اس کو شقاوت سے بدلتی ہے اُسے اللہ کیسی سخت سزادیتا ہے
,11,2,219,212,زُيِّنَ لِلَّذِينَ كَفَرُوا الْحَيَاةُ الدُّنْيَا وَيَسْخَرُونَ مِنَ الَّذِينَ آمَنُوا ۘ وَالَّذِينَ اتَّقَوْا فَوْقَهُمْ يَوْمَ الْقِيَامَةِ ۗ وَاللَّهُ يَرْزُقُ مَن يَشَاءُ بِغَيْرِ حِسَابٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_212.png,جن لوگوں نے کفر کی راہ اختیار کی ہے، اُن کے لیے دنیا کی زندگی بڑی محبوب و دل پسند بنا دی گئی ہے ایسے لوگ ایمان کی راہ اختیار کرنے والوں کا مذاق اڑاتے ہیں، مگر قیامت کے روز پرہیز گار لوگ ہی اُن کے مقابلے میں عالی مقام ہوں گے رہا دنیا کا رزق، تو اللہ کو اختیار ہے، جسے چاہے بے حساب دے
,11,2,220,213,كَانَ النَّاسُ أُمَّةً وَاحِدَةً فَبَعَثَ اللَّهُ النَّبِيِّينَ مُبَشِّرِينَ وَمُنذِرِينَ وَأَنزَلَ مَعَهُمُ الْكِتَابَ بِالْحَقِّ لِيَحْكُمَ بَيْنَ النَّاسِ فِيمَا اخْتَلَفُوا فِيهِ ۚ وَمَا اخْتَلَفَ فِيهِ إِلَّا الَّذِينَ أُوتُوهُ مِن بَعْدِ مَا جَاءَتْهُمُ الْبَيِّنَاتُ بَغْيًا بَيْنَهُمْ ۖ فَهَدَى اللَّهُ الَّذِينَ آمَنُوا لِمَا اخْتَلَفُوا فِيهِ مِنَ الْحَقِّ بِإِذْنِهِ ۗ وَاللَّهُ يَهْدِي مَن يَشَاءُ إِلَىٰ صِرَاطٍ مُّسْتَقِيمٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_213.png,ابتدا میں سب لوگ ایک ہی طریقہ پر تھے (پھر یہ حالت باقی نہ رہی اور اختلافات رونما ہوئے) تب اللہ نے نبی بھیجے جو راست روی پر بشارت دینے والے اور کج روی کے نتائج سے ڈرانے والے تھے، اور اُن کے ساتھ کتاب بر حق نازل کی تاکہ حق کے بارے میں لوگوں کے درمیان جو اختلافات رونما ہوگئے تھے، ان کا فیصلہ کرے (اور ان اختلافات کے رونما ہونے کی وجہ یہ نہ تھی کہ ابتدا میں لوگوں کو حق بتایا نہیں گیا تھا نہیں،) اختلاف اُن لوگوں نے کیا، جنہیں حق کا عمل دیا چکا تھا اُنہوں نے روشن ہدایات پا لینے کے بعد محض اس کے لیے حق کو چھوڑ کر مختلف طریقے نکالے کہ وہ آپس میں زیادتی کرنا چاہتے تھے پس جو لوگ انبیا پر ایمان لے آئے، انہیں اللہ نے اپنے اذن سے اُس حق کا راستہ دکھا دیا، جس میں لوگوں نے اختلاف کیا تھا اللہ جسے چاہتا ہے، راہ راست دکھا دیتا ہے
,11,2,221,214,أَمْ حَسِبْتُمْ أَن تَدْخُلُوا الْجَنَّةَ وَلَمَّا يَأْتِكُم مَّثَلُ الَّذِينَ خَلَوْا مِن قَبْلِكُم ۖ مَّسَّتْهُمُ الْبَأْسَاءُ وَالضَّرَّاءُ وَزُلْزِلُوا حَتَّىٰ يَقُولَ الرَّسُولُ وَالَّذِينَ آمَنُوا مَعَهُ مَتَىٰ نَصْرُ اللَّهِ ۗ أَلَا إِنَّ نَصْرَ اللَّهِ قَرِيبٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_214.png,پھر کیا تم لوگوں نے یہ سمجھ رکھا ہے کہ یونہی جنت کا داخلہ تمہیں مل جائے گا، حالانکہ ابھی تم پر وہ سب کچھ نہیں گزرا ہے، جو تم سے پہلے ایمان لانے والوں پر گزر چکا ہے؟ اُن پر سختیاں گزریں، مصیبتیں آئیں، ہلا مارے گئے، حتیٰ کہ وقت کارسول اور اس کے ساتھی اہل ایمان چیخ اٹھے کہ اللہ کی مدد کب آئے گی اُس وقت انہیں تسلی دی گئی کہ ہاں اللہ کی مدد قریب ہے
,11,2,222,215,يَسْأَلُونَكَ مَاذَا يُنفِقُونَ ۖ قُلْ مَا أَنفَقْتُم مِّنْ خَيْرٍ فَلِلْوَالِدَيْنِ وَالْأَقْرَبِينَ وَالْيَتَامَىٰ وَالْمَسَاكِينِ وَابْنِ السَّبِيلِ ۗ وَمَا تَفْعَلُوا مِنْ خَيْرٍ فَإِنَّ اللَّهَ بِهِ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_215.png,لوگ پوچھتے ہیں کہ ہم کیا خرچ کریں؟ جواب دو کہ جو مال بھی تم خرچ کرو اپنے والدین پر، رشتے داروں پر، یتیموں اور مسکینوں اور مسافروں پر خرچ کرو اور جو بھلائی بھی تم کرو گے، اللہ اس سے باخبر ہوگا
,11,2,223,216,كُتِبَ عَلَيْكُمُ الْقِتَالُ وَهُوَ كُرْهٌ لَّكُمْ ۖ وَعَسَىٰ أَن تَكْرَهُوا شَيْئًا وَهُوَ خَيْرٌ لَّكُمْ ۖ وَعَسَىٰ أَن تُحِبُّوا شَيْئًا وَهُوَ شَرٌّ لَّكُمْ ۗ وَاللَّهُ يَعْلَمُ وَأَنتُمْ لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_216.png,تمہیں جنگ کا حکم دیا گیا ہے اور وہ تمہیں ناگوار ہے ہوسکتا ہے کہ ایک چیز تمہیں ناگوار ہو اور وہی تمہارے لیے بہتر ہو اور ہوسکتا ہے کہ ایک چیز تمہیں پسند ہو اور وہی تمہارے لیے بری ہو اللہ جانتا ہے، تم نہیں جانتے
,11,2,224,217,يَسْأَلُونَكَ عَنِ الشَّهْرِ الْحَرَامِ قِتَالٍ فِيهِ ۖ قُلْ قِتَالٌ فِيهِ كَبِيرٌ ۖ وَصَدٌّ عَن سَبِيلِ اللَّهِ وَكُفْرٌ بِهِ وَالْمَسْجِدِ الْحَرَامِ وَإِخْرَاجُ أَهْلِهِ مِنْهُ أَكْبَرُ عِندَ اللَّهِ ۚ وَالْفِتْنَةُ أَكْبَرُ مِنَ الْقَتْلِ ۗ وَلَا يَزَالُونَ يُقَاتِلُونَكُمْ حَتَّىٰ يَرُدُّوكُمْ عَن دِينِكُمْ إِنِ اسْتَطَاعُوا ۚ وَمَن يَرْتَدِدْ مِنكُمْ عَن دِينِهِ فَيَمُتْ وَهُوَ كَافِرٌ فَأُولَٰئِكَ حَبِطَتْ أَعْمَالُهُمْ فِي الدُّنْيَا وَالْآخِرَةِ ۖ وَأُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_217.png,لوگ پوچھتے ہیں ماہ حرام میں لڑنا کیسا ہے؟ کہو: اِس میں لڑ نا بہت برا ہے، مگر راہ خدا سے لوگوں کو روکنا اور اللہ سے کفر کرنا اور مسجد حرام کا راستہ خدا پرستوں پر بند کرنا اور حرم کے رہنے والوں کو وہاں سے نکالنا اللہ کے نزدیک اِس سے بھی زیادہ برا ہے اور فتنہ خونریزی سے شدید تر ہے وہ تو تم سے لڑے ہی جائیں گے حتیٰ کہ اگر اُن کا بس چلے، تو تمہیں اِس دین سے پھرا لے جائیں (اور یہ خوب سمجھ لو کہ) تم میں سے جو کوئی اس دین سے پھرے گا اور کفر کی حالت میں جان دے گا، اس کے اعمال دنیا اور آخرت دونوں میں ضائع ہو جائیں گے ایسے سب لوگ جہنمی ہیں اور ہمیشہ جہنم ہی میں رہیں گے
,11,2,225,218,إِنَّ الَّذِينَ آمَنُوا وَالَّذِينَ هَاجَرُوا وَجَاهَدُوا فِي سَبِيلِ اللَّهِ أُولَٰئِكَ يَرْجُونَ رَحْمَتَ اللَّهِ ۚ وَاللَّهُ غَفُورٌ رَّحِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_218.png,بخلا ف اِس کے جو لوگ ایمان لائے ہیں اور جنہوں نے خدا کی راہ میں اپنا گھر بار چھوڑا اور جہاد کیا ہے، وہ رحمت الٰہی کے جائز امیدوار ہیں اور اللہ ان کی لغزشوں کو معاف کرنے والا اور اپنی رحمت سے انہیں نوازنے والا ہے
,11,2,226,219,۞ يَسْأَلُونَكَ عَنِ الْخَمْرِ وَالْمَيْسِرِ ۖ قُلْ فِيهِمَا إِثْمٌ كَبِيرٌ وَمَنَافِعُ لِلنَّاسِ وَإِثْمُهُمَا أَكْبَرُ مِن نَّفْعِهِمَا ۗ وَيَسْأَلُونَكَ مَاذَا يُنفِقُونَ قُلِ الْعَفْوَ ۗ كَذَٰلِكَ يُبَيِّنُ اللَّهُ لَكُمُ الْآيَاتِ لَعَلَّكُمْ تَتَفَكَّرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_219.png,پوچھتے ہیں: شراب اور جوئے کا کیا حکم ہے؟ کہو: ان دونوں چیزوں میں بڑی خرابی ہے اگرچہ ان میں لوگوں کے لیے کچھ منافع بھی ہیں، مگر ان کا گناہ اُن کے فائدے سے بہت زیادہ ہے پوچھتے ہیں: ہم راہ خدا میں کیا خرچ کریں؟ کہو: جو کچھ تمہاری ضرورت سے زیادہ ہو اس طرح اللہ تمہارے لیے صاف صاف احکام بیان کرتا ہے، شاید کہ تم دنیا اور آخرت دونوں کی فکر کرو
,11,2,227,220,فِي الدُّنْيَا وَالْآخِرَةِ ۗ وَيَسْأَلُونَكَ عَنِ الْيَتَامَىٰ ۖ قُلْ إِصْلَاحٌ لَّهُمْ خَيْرٌ ۖ وَإِن تُخَالِطُوهُمْ فَإِخْوَانُكُمْ ۚ وَاللَّهُ يَعْلَمُ الْمُفْسِدَ مِنَ الْمُصْلِحِ ۚ وَلَوْ شَاءَ اللَّهُ لَأَعْنَتَكُمْ ۚ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_220.png,پوچھتے ہیں: یتیموں کے ساتھ کیا معاملہ کیا جائے؟ کہو: جس طرز عمل میں ان کے لیے بھلائی ہو، وہی اختیار کرنا بہتر ہے اگر تم اپنا اور اُن کا خرچ اور رہنا سہنا مشترک رکھو، تو اس میں کوئی مضائقہ نہیں آخر وہ تمہارے بھائی بند ہی تو ہیں برائی کرنے والے اور بھلائی کرنے والے، دونوں کا حال اللہ پر روشن ہے اللہ چاہتا تو اس معاملے میں تم پر سختی کرتا، مگر وہ صاحب اختیار ہونے کے ساتھ صاحب حکمت بھی ہے
