Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_arj
,27,5,777,108,ذَٰلِكَ أَدْنَىٰ أَن يَأْتُوا بِالشَّهَادَةِ عَلَىٰ وَجْهِهَا أَوْ يَخَافُوا أَن تُرَدَّ أَيْمَانٌ بَعْدَ أَيْمَانِهِمْ ۗ وَاتَّقُوا اللَّهَ وَاسْمَعُوا ۗ وَاللَّهُ لَا يَهْدِي الْقَوْمَ الْفَاسِقِينَ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_108.png,«ذلك» الحكم المذكور من رد اليمين على الورثة «أدنى» أقرب إلى «أن يأتوا» أي الشهود أو الأوصياء «بالشهادة على وجهها» الذي تحملوها عليه من غير تحريف ولا خيانة «أو» أقرب إلى أن «يخافوا أن تُرد أيمان بعد أيْمانهم» على الورثة المدعين فيحلفون على خيانتهم وكذبهم فيفتضحون ويغرمون فلا يكذبوا «واتقوا الله» بترك الخيانة والكذب «واسمعوا» ما تؤمرون به سماع قبول «والله لا يهدي القوم الفاسقين» الخارجين عن طاعته إلى سبيل الخير.
,27,5,778,109,۞ يَوْمَ يَجْمَعُ اللَّهُ الرُّسُلَ فَيَقُولُ مَاذَا أُجِبْتُمْ ۖ قَالُوا لَا عِلْمَ لَنَا ۖ إِنَّكَ أَنتَ عَلَّامُ الْغُيُوبِ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_109.png,اذكر «يوم يجمع الله الرسل» هو يوم القيامة «فيقول» لهم توبيخا لقومهم «ماذا» أي الذي «أُجبتم» به حين دعوتم إلى التوحيد «قالوا لا علم لنا» بذلك «إنك أنت علام الغيوب» ما غاب عن العباد وذهب عنهم علمه لشدة هول يوم القيامة وفزعهم ثم يشهدون على أممهم لما يسكنون.
,27,5,779,110,إِذْ قَالَ اللَّهُ يَا عِيسَى ابْنَ مَرْيَمَ اذْكُرْ نِعْمَتِي عَلَيْكَ وَعَلَىٰ وَالِدَتِكَ إِذْ أَيَّدتُّكَ بِرُوحِ الْقُدُسِ تُكَلِّمُ النَّاسَ فِي الْمَهْدِ وَكَهْلًا ۖ وَإِذْ عَلَّمْتُكَ الْكِتَابَ وَالْحِكْمَةَ وَالتَّوْرَاةَ وَالْإِنجِيلَ ۖ وَإِذْ تَخْلُقُ مِنَ الطِّينِ كَهَيْئَةِ الطَّيْرِ بِإِذْنِي فَتَنفُخُ فِيهَا فَتَكُونُ طَيْرًا بِإِذْنِي ۖ وَتُبْرِئُ الْأَكْمَهَ وَالْأَبْرَصَ بِإِذْنِي ۖ وَإِذْ تُخْرِجُ الْمَوْتَىٰ بِإِذْنِي ۖ وَإِذْ كَفَفْتُ بَنِي إِسْرَائِيلَ عَنكَ إِذْ جِئْتَهُم بِالْبَيِّنَاتِ فَقَالَ الَّذِينَ كَفَرُوا مِنْهُمْ إِنْ هَٰذَا إِلَّا سِحْرٌ مُّبِينٌ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_110.png,اذكر «إذ قال الله يا عيسى ابن مريم اذكر نعمتي عليك وعلى والدتك» بشكرها «إذ أيَّدتك» قويتك «بروح القدس» جبريل «تكلِّم الناس» حال من الكاف في أيدتك «في المهد» أي طفلا «وكهلا» يفيد نزوله قبل الساعة لأنه رفع قبل الكهولة كما سبق آل عمران «وإذ علَّمتك الكتاب والحكمة والتوراة والإنجيل وإذ تخلق من الطين كهيئة» كصورة «الطير» والكافُ اسم بمعنى مثل مفعول «بإذني فتنفخ فيها فتكون طيرا بإذني» بإرادتي «وتُبرئ الأكمه والأبرص بإذني وإذ تخرج الموت» من قبورهم أحياء «بإذني وإذ كففت بني إسرائيل عنك» حين هموا بقتلك «إذ جئتهم بالبيانات» المعجزات «فقال الذين كفروا منهم إن» ما «هذا» الذي جئت به «إلا سحر مبين» وفي قراءة ساحر أي عيسى.
,27,5,780,111,وَإِذْ أَوْحَيْتُ إِلَى الْحَوَارِيِّينَ أَنْ آمِنُوا بِي وَبِرَسُولِي قَالُوا آمَنَّا وَاشْهَدْ بِأَنَّنَا مُسْلِمُونَ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_111.png,«وإذ أوحيت إلى الحواريين» أمرتهم على لسانه «أن» أي بأن «آمنوا بي وبرسولي» عيسى «قالوا آمنا» بهما «واشهد بأننا مسلمون».
,27,5,781,112,إِذْ قَالَ الْحَوَارِيُّونَ يَا عِيسَى ابْنَ مَرْيَمَ هَلْ يَسْتَطِيعُ رَبُّكَ أَن يُنَزِّلَ عَلَيْنَا مَائِدَةً مِّنَ السَّمَاءِ ۖ قَالَ اتَّقُوا اللَّهَ إِن كُنتُم مُّؤْمِنِينَ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_112.png,اذكر «إذ قال الحواريون يا عيسى ابن مريم هل يستطيع» أي يفعل «ربك» وفي قراءة بالفوقانية ونصب ما بعده أي تقدر أن تسأله «أن ينزل علينا مائدة من السماء قال» لهم عيسى «اتقوا الله» في اقتراح الآيات «إن كنتم مؤمنين».
,27,5,782,113,قَالُوا نُرِيدُ أَن نَّأْكُلَ مِنْهَا وَتَطْمَئِنَّ قُلُوبُنَا وَنَعْلَمَ أَن قَدْ صَدَقْتَنَا وَنَكُونَ عَلَيْهَا مِنَ الشَّاهِدِينَ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_113.png,«قالوا نريد» سؤالها من أجل «أن نأكل منها وتطمئنَّ» تسكن «قلوبنا» بزيادة اليقين «ونعلم» نزداد علما «أن» مخففه أي أنك «قد صدقتنا» في ادعاء النبوة «ونكون عليها من الشاهدين».
,27,5,783,114,قَالَ عِيسَى ابْنُ مَرْيَمَ اللَّهُمَّ رَبَّنَا أَنزِلْ عَلَيْنَا مَائِدَةً مِّنَ السَّمَاءِ تَكُونُ لَنَا عِيدًا لِّأَوَّلِنَا وَآخِرِنَا وَآيَةً مِّنكَ ۖ وَارْزُقْنَا وَأَنتَ خَيْرُ الرَّازِقِينَ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_114.png,«قال عيسى ابن مريم اللَّهم ربنا أنزل علينا مائدة من السماء تكون لنا» أي يوم نزولها «عيدا» نعظمه ونشرفه «لأوَّلنا» بدل من لنا بإعادة الجار «وآخرنا» ممن يأتي بعدنا «وآية منك» على قدرتك ونبوتي «وارزقنا» إياها «وأنت خير الرازقين».
,27,5,784,115,قَالَ اللَّهُ إِنِّي مُنَزِّلُهَا عَلَيْكُمْ ۖ فَمَن يَكْفُرْ بَعْدُ مِنكُمْ فَإِنِّي أُعَذِّبُهُ عَذَابًا لَّا أُعَذِّبُهُ أَحَدًا مِّنَ الْعَالَمِينَ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_115.png,«قال الله» مستجيب له «إني منزِّلها» بالتخفيف والتشديد «عليكم فمن يكفر بعد» أي بعد نزولها «منكم فإني أعذبه عذابا لا أعذبه أحدا من العالمين» فنزلت الملائكة بها من السماء عليها سبعة أرغفة وسبعة أحوات فأكلوا منها حتى شبعوا قاله ابن عباس وفي حديث أنزلت المائدة من السماء خبزا ولحما فأمروا أن لا يخونوا ولا يدَّخروا لغد فخافوا وادخروا فمسخوا قردة وخنازير.
,27,5,785,116,وَإِذْ قَالَ اللَّهُ يَا عِيسَى ابْنَ مَرْيَمَ أَأَنتَ قُلْتَ لِلنَّاسِ اتَّخِذُونِي وَأُمِّيَ إِلَٰهَيْنِ مِن دُونِ اللَّهِ ۖ قَالَ سُبْحَانَكَ مَا يَكُونُ لِي أَنْ أَقُولَ مَا لَيْسَ لِي بِحَقٍّ ۚ إِن كُنتُ قُلْتُهُ فَقَدْ عَلِمْتَهُ ۚ تَعْلَمُ مَا فِي نَفْسِي وَلَا أَعْلَمُ مَا فِي نَفْسِكَ ۚ إِنَّكَ أَنتَ عَلَّامُ الْغُيُوبِ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_116.png,«و» اذكر «إذ قال» أي يقول «الله» لعيسى في القيامة توبيخا لقومه «يا عيسى ابن مريم أأنت قلت للناس اتخذوني وَأُمِّي إلهين من دون الله قال» عيسى وقد أرعد «سبحانك» تنزيها لك عما لا يليق بك من الشريك وغيره «ما يكون» ما ينبغي «لي أن أقول ما ليس لي بحق» خبر ليس، ولي للتبيين «إن كنت قلته فقد علمته تعلم ما» أخفيه «في نفس ولا أعلم ما في نفسك» أي ما تخفيه من معلوماتك «إنك أنت علام الغيوب».
,27,5,786,117,مَا قُلْتُ لَهُمْ إِلَّا مَا أَمَرْتَنِي بِهِ أَنِ اعْبُدُوا اللَّهَ رَبِّي وَرَبَّكُمْ ۚ وَكُنتُ عَلَيْهِمْ شَهِيدًا مَّا دُمْتُ فِيهِمْ ۖ فَلَمَّا تَوَفَّيْتَنِي كُنتَ أَنتَ الرَّقِيبَ عَلَيْهِمْ ۚ وَأَنتَ عَلَىٰ كُلِّ شَيْءٍ شَهِيدٌ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_117.png,«ما قلتُ لهم إلا ما أمرتني به» وهو «أن اعبدوا الله ربي وربكم وكنتُ عليهم شهيدا» رقيبا أمنعهم مما يقولون «ما دمت فيهم فلما توفيتني» قبضتني بالرفع إلى السماء «كنتَ أنت الرقيب عليهم» الحفيظ لأعمالهم «وأنت على كل شيء» من قولي لهم وقولهم بعدي وغير ذلك «شهيد» مطلع عالم به.
,27,5,787,118,إِن تُعَذِّبْهُمْ فَإِنَّهُمْ عِبَادُكَ ۖ وَإِن تَغْفِرْ لَهُمْ فَإِنَّكَ أَنتَ الْعَزِيزُ الْحَكِيمُ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_118.png,«إن تعذبهم» أي من أقام على الكفر فيهم «فإنهم عبادك» وأنت مالكهم تتصرف فيهم كيف شئت لا اعتراض عليك «وإن تغفر لهم» أي لمن آمن منهم «فإنك أنت العزيز» الغالب على أمره «الحكيم» في صنعه.
,27,5,788,119,قَالَ اللَّهُ هَٰذَا يَوْمُ يَنفَعُ الصَّادِقِينَ صِدْقُهُمْ ۚ لَهُمْ جَنَّاتٌ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا أَبَدًا ۚ رَّضِيَ اللَّهُ عَنْهُمْ وَرَضُوا عَنْهُ ۚ ذَٰلِكَ الْفَوْزُ الْعَظِيمُ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_119.png,«قال الله هذا» أي يوم القيامة «يوم ينفع الصادقين» في الدنيا كعيسى «صدقهم» لأنه يوم الجزاء «لهم جنات تجري من تحتها الأنهار خالدين فيها أبدا رضي الله عنهم» بطاعته «ورضوا عنه» بثوابه «ذلك الفوز العظيم» ولا ينفع الكاذبين في الدنيا صدقهم فيه كالكفار لما يؤمنون عند رؤية العذاب.
,27,5,789,120,لِلَّهِ مُلْكُ السَّمَاوَاتِ وَالْأَرْضِ وَمَا فِيهِنَّ ۚ وَهُوَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Maeda--  المائدة,The Table Spread,public://sura_images/5.png,public://quran_images/5_120.png,«لله ملك السماوات والأرض» خزائن المطر والنبات والرزق وغيرها «وما فيهن» أتى بما تغليبا لغير العاقل «وهو على كل شيء قدير» ومنه إثابة الصادق وتعذيب الكاذب وخص العقلُ ذاته فليس عليها بقادر.
,27,6,790,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الْحَمْدُ لِلَّهِ الَّذِي خَلَقَ السَّمَاوَاتِ وَالْأَرْضَ وَجَعَلَ الظُّلُمَاتِ وَالنُّورَ ۖ ثُمَّ الَّذِينَ كَفَرُوا بِرَبِّهِمْ يَعْدِلُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_1.png,«الحمد» وهو الوصف الجميل ثابت «لله» وهل المراد الإعلام بذلك للإيمان به الثناء به أوهما احتمالات أفيدها الثالث قاله الشيخ في سورة الكهف «الذي خلق السماوات والأرض» خصهما بالذكر لأنهما أعظم المخلوقات للناظرين «وجعل» خلق «الظلمات والنور» أي كل ظلمة ونور وجمعها دونه لكثرة أسبابها، وهذا من دلائل وحدانيته «ثم الذين كفروا» مع قيام هذا الدليل «بربهم يعدلون» يسوون غيره في العبادة.
,27,6,791,2,هُوَ الَّذِي خَلَقَكُم مِّن طِينٍ ثُمَّ قَضَىٰ أَجَلًا ۖ وَأَجَلٌ مُّسَمًّى عِندَهُ ۖ ثُمَّ أَنتُمْ تَمْتَرُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_2.png,«هو الذي خلقكم من طين» بخلق أبيكم آدم منه «ثم قضى أجلا» لكم تموتون عند انتهائه «وأجلٌ مسمّىّ» مضروب «عنده» لبعثكم «ثم أنتم» أيها الكفار «تمترون» تشكون في البعث بعد علمكم أنه ابتدأ خلقكم ومن قدر على الإبتداء فهو على الإعادة أقدر.
,27,6,792,3,وَهُوَ اللَّهُ فِي السَّمَاوَاتِ وَفِي الْأَرْضِ ۖ يَعْلَمُ سِرَّكُمْ وَجَهْرَكُمْ وَيَعْلَمُ مَا تَكْسِبُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_3.png,«وهو الله» مستحق للعبادة «في السماوات وفي الأرض يعلم سركم وجهركم» ما تسرون وما تجهرون به بينكم «ويعلم ما تكسبون» تعملون من خير وشرِّ.
,27,6,793,4,وَمَا تَأْتِيهِم مِّنْ آيَةٍ مِّنْ آيَاتِ رَبِّهِمْ إِلَّا كَانُوا عَنْهَا مُعْرِضِينَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_4.png,«وما تأتيهم» أي أهل مكة «من» زائدة «آية من آيات ربهم» من القرآن «إلا كانوا عنها معرضين».
,27,6,794,5,فَقَدْ كَذَّبُوا بِالْحَقِّ لَمَّا جَاءَهُمْ ۖ فَسَوْفَ يَأْتِيهِمْ أَنبَاءُ مَا كَانُوا بِهِ يَسْتَهْزِئُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_5.png,«فقد كذٌبوا بالحق» بالقرآن «لما جاءهم فسوف يأتيهم أنباء» عواقب «ما كانوا به يستهزئون».
,27,6,795,6,أَلَمْ يَرَوْا كَمْ أَهْلَكْنَا مِن قَبْلِهِم مِّن قَرْنٍ مَّكَّنَّاهُمْ فِي الْأَرْضِ مَا لَمْ نُمَكِّن لَّكُمْ وَأَرْسَلْنَا السَّمَاءَ عَلَيْهِم مِّدْرَارًا وَجَعَلْنَا الْأَنْهَارَ تَجْرِي مِن تَحْتِهِمْ فَأَهْلَكْنَاهُم بِذُنُوبِهِمْ وَأَنشَأْنَا مِن بَعْدِهِمْ قَرْنًا آخَرِينَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_6.png,«ألم يروا» في أسفارهم إلى الشام وغيرها «كم» خبرية بمعنى كثيرا «أهلكنا من قبلهم من قرن» أمة من الأمم الماضية «مكَّناهم» أعطيناهم مكانا «في الأرض» بالقوة والسعة «ما لم نمكن» نعط «لكم» فيه التفات عن الغيبة «وأرسلنا السماء» المطر «عليهم مدرارا» متتابعا «وجعلنا الأنهار تجري من تحتهم» تحت مساكنهم «فأهلكناهم بذنوبهم» بتكذيبهم الأنبياء «وأنشأنا من بعدهم قرنا آخرين».
,27,6,796,7,وَلَوْ نَزَّلْنَا عَلَيْكَ كِتَابًا فِي قِرْطَاسٍ فَلَمَسُوهُ بِأَيْدِيهِمْ لَقَالَ الَّذِينَ كَفَرُوا إِنْ هَٰذَا إِلَّا سِحْرٌ مُّبِينٌ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_7.png,«ولو نزلَّنا عليك كتابا» مكتوبا «في قرطاس» رَق كما اقترحوا «فلمسوه بأيديهم» أبلغ من عاينوه لأنه أنفى للشك «لقال الذين كفروا إن» ما «هذا إلا سحر مبين» تعنُّنا وعنادا.
,27,6,797,8,وَقَالُوا لَوْلَا أُنزِلَ عَلَيْهِ مَلَكٌ ۖ وَلَوْ أَنزَلْنَا مَلَكًا لَّقُضِيَ الْأَمْرُ ثُمَّ لَا يُنظَرُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_8.png,«وقالوا لولا» هلا «أنزل عليه» على محمد صلى الله عليه وسلم «ملك» يصدقه «ولو أنزلنا ملكا» كما اقترحوا فلم يؤمنوا «لقضي الأمر» بهلاكهم «ثم لا ينظرون» يمهلون لتوبة أو معذرة كعادة الله فيمن قبلهم من إهلاكهم عند وجود مقترحهم إذا لم يؤمنوا.
,27,6,798,9,وَلَوْ جَعَلْنَاهُ مَلَكًا لَّجَعَلْنَاهُ رَجُلًا وَلَلَبَسْنَا عَلَيْهِم مَّا يَلْبِسُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_9.png,«ولو جعلناه» أي المنزل إليهم «ملكا لجعلناه» أي الملك «رجلا» أي على صورته ليتمكنوا من رؤيته إذ لا قوَّه للبشر على رؤية الملك «و» لو أنزلناه وجعلنا رجلا «للبسنا» شبهنا «عليهم ما يلبسون» على أنفسهم بأن يقولوا ما هذا إلا بشر مثلكم.
,27,6,799,10,وَلَقَدِ اسْتُهْزِئَ بِرُسُلٍ مِّن قَبْلِكَ فَحَاقَ بِالَّذِينَ سَخِرُوا مِنْهُم مَّا كَانُوا بِهِ يَسْتَهْزِئُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_10.png,«ولقد استُهزئ برسل من قبلك» فيه تسلية للنبي صلى الله عليه وسلم «فحاق» نزل «بالذين سخروا منهم ما كانوا به يستهزئون» وهو العذاب فكذا يحيق بمن استهزأ بك.
,27,6,800,11,قُلْ سِيرُوا فِي الْأَرْضِ ثُمَّ انظُرُوا كَيْفَ كَانَ عَاقِبَةُ الْمُكَذِّبِينَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_11.png,«قل» لهم «سيروا في الأرض ثم انظروا كيف كان عاقبة المكذبين» الرسل من هلاكهم بالعذاب ليعتبروا.
,27,6,801,12,قُل لِّمَن مَّا فِي السَّمَاوَاتِ وَالْأَرْضِ ۖ قُل لِّلَّهِ ۚ كَتَبَ عَلَىٰ نَفْسِهِ الرَّحْمَةَ ۚ لَيَجْمَعَنَّكُمْ إِلَىٰ يَوْمِ الْقِيَامَةِ لَا رَيْبَ فِيهِ ۚ الَّذِينَ خَسِرُوا أَنفُسَهُمْ فَهُمْ لَا يُؤْمِنُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_12.png,«قل لمن ما في السماوات والأرض قل لله» إن لم يقولوه لا جواب غيره «كتب على نفسه» قضى على نفسه «الرحمة» فضلا منه وفيه تلطف في دعائهم إلى الإيمان «لَيجمعنكم إلى يوم القيامة» ليجازيكم بأعمالكم «لا ريب» شك «فيه الذين خسروا أنفسهم» بتعريضها للعذاب مبتدأ خبره «فهم لا يؤمنون».
,27,6,802,13,۞ وَلَهُ مَا سَكَنَ فِي اللَّيْلِ وَالنَّهَارِ ۚ وَهُوَ السَّمِيعُ الْعَلِيمُ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_13.png,«وله» تعالى «ما سكن» حلُ «في الليل والنهار» أي كل شيء فهو ربه وخالقه ومالكه «وهو السميع» لما يقال «العليم» بما يفعل.
,27,6,803,14,قُلْ أَغَيْرَ اللَّهِ أَتَّخِذُ وَلِيًّا فَاطِرِ السَّمَاوَاتِ وَالْأَرْضِ وَهُوَ يُطْعِمُ وَلَا يُطْعَمُ ۗ قُلْ إِنِّي أُمِرْتُ أَنْ أَكُونَ أَوَّلَ مَنْ أَسْلَمَ ۖ وَلَا تَكُونَنَّ مِنَ الْمُشْرِكِينَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_14.png,«قل» لهم «أغير الله أتَّخذ وليّاً» أعبده «فاطر السماوات والأرض» مبدعهما «وهو يُطعم» يرزق «ولا يُطعم» يُرزق «قل إني أمرت أن أكون أول من أسلم» لله من هذه الأمة «و» قيل لي «لا تكوننَّ من المشركين» به.
,27,6,804,15,قُلْ إِنِّي أَخَافُ إِنْ عَصَيْتُ رَبِّي عَذَابَ يَوْمٍ عَظِيمٍ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_15.png,«قل إني أخاف إن عصيت ربي» بعبادة غيره «عذاب يوم عظيم» هو يوم القيامة.
,27,6,805,16,مَّن يُصْرَفْ عَنْهُ يَوْمَئِذٍ فَقَدْ رَحِمَهُ ۚ وَذَٰلِكَ الْفَوْزُ الْمُبِينُ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_16.png,«من يُصرف» بالبناء للمفعول أي العذاب وللفاعل أي الله والعائد محذوف «عنه يومئذ فقد رحمه» تعالى أي أراد له الخير «وذلك الفوز المبين» النجُاة الظاهرة.
,27,6,806,17,وَإِن يَمْسَسْكَ اللَّهُ بِضُرٍّ فَلَا كَاشِفَ لَهُ إِلَّا هُوَ ۖ وَإِن يَمْسَسْكَ بِخَيْرٍ فَهُوَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_17.png,«وإن يمسسك الله بضر» بلاء كمرض وفقر «فلا كاشف» رافع «له إلا هو وإن يمسسك بخير» كصحة وغنىّ «فهو على كل شىء قدير» ومنه مسُّك به ولا يقدر على ردِّه عنك غيره.
,27,6,807,18,وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ ۚ وَهُوَ الْحَكِيمُ الْخَبِيرُ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_18.png,«وهو القاهر» القادر الذي لا يعجزه شيء مستعليا «فوق عباده وهو الحكيم» في خلقه «الخبير» ببواطنهم كظواهرهم.
,27,6,808,19,قُلْ أَيُّ شَيْءٍ أَكْبَرُ شَهَادَةً ۖ قُلِ اللَّهُ ۖ شَهِيدٌ بَيْنِي وَبَيْنَكُمْ ۚ وَأُوحِيَ إِلَيَّ هَٰذَا الْقُرْآنُ لِأُنذِرَكُم بِهِ وَمَن بَلَغَ ۚ أَئِنَّكُمْ لَتَشْهَدُونَ أَنَّ مَعَ اللَّهِ آلِهَةً أُخْرَىٰ ۚ قُل لَّا أَشْهَدُ ۚ قُلْ إِنَّمَا هُوَ إِلَٰهٌ وَاحِدٌ وَإِنَّنِي بَرِيءٌ مِّمَّا تُشْرِكُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_19.png,ونزل لما قالوا للنبي صلى الله عليه وسلم إئتنا بمن يشهد لك بالنبوة فإن أهل الكتاب أنكروك «قل» لهم «أيُّ شيءٍ أكبر شهادة» تمييز محول عن المبتدأ «قل اللهُ» إن لم يقولوه لا جواب غيره، وهو «شهيد بيني وبينكم» على صدقي «وأوحي إليَّ هذا القرآن لأنذركم» أخوفكم يا أهل مكة «به ومن بلغ» عطف على ضمير أنذركم أي بلغة القرآن عن الأنس والجن «أئنَّكم لتشهدون أن مع الله آلهة أخرى» إستفهام إنكاري «قل» لهم «لا أشِهدُ» بذلك «قل إنما هو إله واحد وإنني بريء مما تشركون» معه من الأصنام.
,27,6,809,20,الَّذِينَ آتَيْنَاهُمُ الْكِتَابَ يَعْرِفُونَهُ كَمَا يَعْرِفُونَ أَبْنَاءَهُمُ ۘ الَّذِينَ خَسِرُوا أَنفُسَهُمْ فَهُمْ لَا يُؤْمِنُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_20.png,«الذين آتيناهم الكتاب يعرفونه» أي محمدا بنعته في كتابهم «كما يعرفون أبناءهم الذين خسروا أنفسهم» منهم «فهم لا يؤمنون» به.
,27,6,810,21,وَمَنْ أَظْلَمُ مِمَّنِ افْتَرَىٰ عَلَى اللَّهِ كَذِبًا أَوْ كَذَّبَ بِآيَاتِهِ ۗ إِنَّهُ لَا يُفْلِحُ الظَّالِمُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_21.png,«ومن» أي لا أحد «أظلم ممن افترى على الله كذبا» بنسبه الشريك إليه «أو كذَّب بآياته» القرآن «إنه» أي الشأن «لا يفلح الظالمون» بذلك.
,27,6,811,22,وَيَوْمَ نَحْشُرُهُمْ جَمِيعًا ثُمَّ نَقُولُ لِلَّذِينَ أَشْرَكُوا أَيْنَ شُرَكَاؤُكُمُ الَّذِينَ كُنتُمْ تَزْعُمُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_22.png,«و» اذكر «يوم نحشرهم جميعا ثم نقول للذين أشركوا» توبيخا «أين شركاؤكم الذين كنتم تزعمون» أنهم شركاء الله.
,27,6,812,23,ثُمَّ لَمْ تَكُن فِتْنَتُهُمْ إِلَّا أَن قَالُوا وَاللَّهِ رَبِّنَا مَا كُنَّا مُشْرِكِينَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_23.png,«ثم لم تكن» بالتاء والياء «فتنتّهم» بالنصب والرفع أي معذرتهم «إلا أن قالوا» أي قولهم «والله ربِّنا» بالجر نعت والنصب نداء «ما كنا مشركين».
,27,6,813,24,انظُرْ كَيْفَ كَذَبُوا عَلَىٰ أَنفُسِهِمْ ۚ وَضَلَّ عَنْهُم مَّا كَانُوا يَفْتَرُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_24.png,قال تعال: «أنظر» يا محمد «كيف كذبوا على أنفسهم» بنفي الشرك عنهم «وضلَّ» غاب «عنهم ما كانوا يفترونـ» ـه على الله من الشركاء.
,27,6,814,25,وَمِنْهُم مَّن يَسْتَمِعُ إِلَيْكَ ۖ وَجَعَلْنَا عَلَىٰ قُلُوبِهِمْ أَكِنَّةً أَن يَفْقَهُوهُ وَفِي آذَانِهِمْ وَقْرًا ۚ وَإِن يَرَوْا كُلَّ آيَةٍ لَّا يُؤْمِنُوا بِهَا ۚ حَتَّىٰ إِذَا جَاءُوكَ يُجَادِلُونَكَ يَقُولُ الَّذِينَ كَفَرُوا إِنْ هَٰذَا إِلَّا أَسَاطِيرُ الْأَوَّلِينَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_25.png,«ومنهم من يستمع إليك» إذا قرأت «وجعلنا على قلوبهم أكنة» أغطية لـ «أن» لا «يفقهوه» يفهموا القرآن «وفي آذانهم وقرا» صما فلا يسمعونه سماع قبول «وإن يروا كل آية لا يؤمنوا بها حتى إذا جاءُوك يجادلونك يقول الذين كفروا إن» ما «هذا» القرآن «إلا أساطير» أكاذيب «الأولين» كالأضاحيك والأعاجيب جمع أسطورة بالضم.
,27,6,815,26,وَهُمْ يَنْهَوْنَ عَنْهُ وَيَنْأَوْنَ عَنْهُ ۖ وَإِن يُهْلِكُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Anaam—الأنعام,The cattle,public://sura_images/6.png,public://quran_images/6_26.png,«وهم ينهون» الناس «عنه» عن اتباع النبي صلى الله عليه وسلم «وينأون» يتباعدون «عنه» فلا يؤمنون به، وقيل: نزلت في أبي طالب كان ينهى عن أذاه ولا يؤمن به «وإن» ما «يهلكون» بالنأي عنه «إلا أنفسهم» لأن ضرره عليهم «وما يشعرون» بذلك.
